nohup: ignoring input
🚀 自动备份哨兵已启动...
✅ 已备份当前权重: sl_checkpoint_20260213_082156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_085156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_092156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_095156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_102156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_105156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_112156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_115156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_122156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_125156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_132156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_135156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_142156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_145156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_152156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_155156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_162156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_165156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_172156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_175156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_182156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_185156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_192156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_195156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_202156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_205156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_212156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_215156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_222156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_225156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_232156.pt
✅ 已备份当前权重: sl_checkpoint_20260213_235156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_002156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_005156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_012156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_015156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_022156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_025156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_032156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_035156.pt
✅ 已备份当前权重: sl_checkpoint_20260214_042157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_045157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_052157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_055157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_062157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_065157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_072157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_075157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_082157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_085157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_092157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_095157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_102157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_105157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_112157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_115157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_122157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_125157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_132157.pt
✅ 已备份当前权重: sl_checkpoint_20260214_135157.pt
